CHANDLER,,0,1,1,1,0,0,38,0.199444,0.010058,0.209502
DANIEL,,0,1,1,1,0,1,235,0.204570,0.437889,0.642459
DANIEL,,1,1,1,1,0,1,235,0.205892,0.583932,0.789824
DANIEL,,0,1,1,1,0,1,235,0.264590,0.071069,0.335659
DANIEL,,1,1,1,1,0,1,235,0.244199,9.659318,9.903517
DANIEL,,1,1,1,1,0,1,235,0.212462,1.172693,1.385155
DANIEL,,1,1,1,1,0,1,235,0.212053,0.193246,0.405299
DANIEL,,1,1,1,1,0,1,235,0.219039,0.140561,0.359600
DANIEL,,1,1,1,1,0,1,235,0.209146,0.193537,0.402683
JOHN,123456789,0,1,0,0,0,3,28,0.190409,0.008849,0.199258
GFD,,0,1,1,1,0,0,0,0.206449,0.002317,0.208766
CAPTAIN,,0,1,1,1,0,0,71,0.206586,0.063801,0.270387
JOHN,123456789,1,1,1,1,0,3,195,0.228954,0.462131,0.691085
JOHN,123456789,1,1,1,1,0,3,195,0.215739,0.085703,0.301442
JOHN,123456789,1,1,0,0,0,3,28,0.188949,0.030233,0.219182
JOHN,123456789,1,0,0,0,1,3,81,0.182971,0.050527,0.233498
JOHN,123456789,1,1,1,1,1,3,267,0.229296,0.097384,0.326680
JOHN,123456789,1,1,1,1,1,3,267,0.230286,0.107339,0.337625
DANIEL,123456,0,1,1,1,0,1,235,0.215196,0.055571,0.270767
DANIEL,123456,1,1,1,1,0,1,235,0.216280,0.318439,0.534719
DANIEL,123456,1,1,0,0,0,1,235,0.193260,0.086161,0.279421
DANIEL,123456,1,1,1,1,0,1,235,0.211439,0.089257,0.300696
DANIEL,123456,1,0,1,0,0,1,5,0.186021,0.01817,0.204191
DANIEL,123456,1,1,1,0,0,1,235,0.206987,0.084332,0.291319
DANIEL,,1,1,1,1,0,1,235,0.968544,0.813824,1.782368
DANIEL,,1,1,1,1,0,1,235,0.256297,0.675527,0.931824
DANIEL,,0,1,1,1,0,1,235,0.274534,0.446188,0.720722
DANIEL,,1,1,1,1,0,1,235,0.203033,0.672672,0.875705
DANIEL,,1,1,1,1,0,1,235,0.268303,0.925924,1.194227
DANIEL,,0,1,1,1,0,1,235,0.440184,0.248043,0.688227
DANIEL,,1,1,1,1,0,1,235,0.303210,0.922122,1.225332
DANIEL,,1,1,1,1,0,1,235,0.248571,0.626971,0.875542
DAWNIEL,,1,1,1,1,0,0,26,0.202026,0.025163,0.227189
DAWNIEL,,1,1,1,1,0,0,26,0.270739,0.836539,1.107278
ASDF,,1,1,1,1,0,0,5,0.342840,0.495582,0.838422
